2019/04/01 23:11:18 nsqlookupd v0.2.16
2019/04/01 23:11:18 HTTP: listening on [::]:4161
2019/04/01 23:11:18 TCP: listening on [::]:4160
2019/04/01 23:11:18 TCP: new client(192.168.1.189:45630)
2019/04/01 23:11:18 CLIENT(192.168.1.189:45630): desired protocol 538990129
2019/04/02 00:13:48 CLIENT(192.168.1.189:45630): pinged (last ping 14.999769013s)
2019/04/02 00:14:03 CLIENT(192.168.1.189:45630): pinged (last ping 14.999989002s)
2019/04/02 00:14:18 CLIENT(192.168.1.189:45630): pinged (last ping 15.000102071s)
2019/04/02 00:14:33 CLIENT(192.168.1.189:45630): pinged (last ping 14.999946337s)
2019/04/02 00:14:48 CLIENT(192.168.1.189:45630): pinged (last ping 15.0000413s)
2019/04/02 00:15:03 CLIENT(192.168.1.189:45630): pinged (last ping 14.999924616s)
2019/04/02 00:15:18 CLIENT(192.168.1.189:45630): pinged (last ping 15.000061988s)
2019/04/02 00:15:33 CLIENT(192.168.1.189:45630): pinged (last ping 14.999924731s)
2019/04/02 00:15:48 CLIENT(192.168.1.189:45630): pinged (last ping 15.000015458s)
2019/04/02 00:16:03 CLIENT(192.168.1.189:45630): pinged (last ping 15.0000056s)
2019/04/02 00:16:18 CLIENT(192.168.1.189:45630): pinged (last ping 14.999966973s)
2019/04/02 00:16:33 CLIENT(192.168.1.189:45630): pinged (last ping 14.999996388s)
2019/04/02 00:16:48 CLIENT(192.168.1.189:45630): pinged (last ping 15.000000638s)
2019/04/02 00:17:03 CLIENT(192.168.1.189:45630): pinged (last ping 15.000093248s)
2019/04/02 00:17:18 CLIENT(192.168.1.189:45630): pinged (last ping 14.999972124s)
2019/04/02 00:17:33 CLIENT(192.168.1.189:45630): pinged (last ping 14.999935142s)
2019/04/02 00:17:48 CLIENT(192.168.1.189:45630): pinged (last ping 15.000086775s)
2019/04/02 00:18:03 CLIENT(192.168.1.189:45630): pinged (last ping 15.000184655s)
2019/04/02 00:18:18 CLIENT(192.168.1.189:45630): pinged (last ping 14.999896282s)
2019/04/02 00:18:33 CLIENT(192.168.1.189:45630): pinged (last ping 14.999849941s)
2019/04/02 00:18:48 CLIENT(192.168.1.189:45630): pinged (last ping 15.000357771s)
2019/04/02 00:19:03 CLIENT(192.168.1.189:45630): pinged (last ping 14.999653114s)
2019/04/02 00:19:18 CLIENT(192.168.1.189:45630): pinged (last ping 14.999978026s)
2019/04/02 00:19:33 CLIENT(192.168.1.189:45630): pinged (last ping 14.99999802s)
2019/04/02 00:19:48 CLIENT(192.168.1.189:45630): pinged (last ping 15.000123371s)
2019/04/02 00:20:03 CLIENT(192.168.1.189:45630): pinged (last ping 14.999892599s)
2019/04/02 00:20:18 CLIENT(192.168.1.189:45630): pinged (last ping 14.999981172s)
2019/04/02 00:20:33 CLIENT(192.168.1.189:45630): pinged (last ping 15.000039328s)
2019/04/02 00:20:48 CLIENT(192.168.1.189:45630): pinged (last ping 15.000058976s)
