2021/07/07 19:39:16 nsqlookupd v0.2.16
2021/07/07 19:39:16 HTTP: listening on [::]:4161
2021/07/07 20:36:18 CLIENT(127.0.0.1:43564): pinged (last ping 15.000055038s)
2021/07/07 20:36:33 CLIENT(127.0.0.1:43564): pinged (last ping 15.00012366s)
2021/07/07 20:36:48 CLIENT(127.0.0.1:43564): pinged (last ping 14.999906284s)
2021/07/07 20:37:03 CLIENT(127.0.0.1:43564): pinged (last ping 15.000124752s)
2021/07/07 20:37:18 CLIENT(127.0.0.1:43564): pinged (last ping 14.999822092s)
2021/07/07 20:37:33 CLIENT(127.0.0.1:43564): pinged (last ping 14.999986116s)
2021/07/07 20:37:48 CLIENT(127.0.0.1:43564): pinged (last ping 15.000055837s)
2021/07/07 20:38:03 CLIENT(127.0.0.1:43564): pinged (last ping 15.000001193s)
2021/07/07 20:38:18 CLIENT(127.0.0.1:43564): pinged (last ping 15.00006011s)
2021/07/07 20:38:33 CLIENT(127.0.0.1:43564): pinged (last ping 14.999936316s)
2021/07/07 20:38:48 CLIENT(127.0.0.1:43564): pinged (last ping 15.000045309s)
2021/07/07 20:39:03 CLIENT(127.0.0.1:43564): pinged (last ping 14.999905383s)
2021/07/07 20:39:18 CLIENT(127.0.0.1:43564): pinged (last ping 15.000018689s)
2021/07/07 20:39:33 CLIENT(127.0.0.1:43564): pinged (last ping 14.999958268s)
2021/07/07 20:39:48 CLIENT(127.0.0.1:43564): pinged (last ping 15.000019897s)
2021/07/07 20:40:03 CLIENT(127.0.0.1:43564): pinged (last ping 15.000061374s)
2021/07/07 20:40:18 CLIENT(127.0.0.1:43564): pinged (last ping 14.999980427s)
2021/07/07 20:40:33 CLIENT(127.0.0.1:43564): pinged (last ping 14.999961173s)
2021/07/07 20:40:48 CLIENT(127.0.0.1:43564): pinged (last ping 15.00004169s)
2021/07/07 20:41:03 CLIENT(127.0.0.1:43564): pinged (last ping 14.999936949s)
2021/07/07 20:41:18 CLIENT(127.0.0.1:43564): pinged (last ping 15.000046295s)
2021/07/07 20:41:33 CLIENT(127.0.0.1:43564): pinged (last ping 14.999981413s)
2021/07/07 20:41:48 CLIENT(127.0.0.1:43564): pinged (last ping 14.999995583s)
2021/07/07 20:42:03 CLIENT(127.0.0.1:43564): pinged (last ping 15.000002433s)
2021/07/07 20:42:18 CLIENT(127.0.0.1:43564): pinged (last ping 15.000049866s)
2021/07/07 20:42:33 CLIENT(127.0.0.1:43564): pinged (last ping 14.999999551s)
2021/07/07 20:42:48 CLIENT(127.0.0.1:43564): pinged (last ping 14.999931841s)
2021/07/07 20:43:03 CLIENT(127.0.0.1:43564): pinged (last ping 15.000057785s)
2021/07/07 20:43:18 CLIENT(127.0.0.1:43564): pinged (last ping 14.999950813s)
2021/07/07 20:43:33 CLIENT(127.0.0.1:43564): pinged (last ping 15.0000292s)
2021/07/07 20:43:48 CLIENT(127.0.0.1:43564): pinged (last ping 14.999961507s)
2021/07/07 20:44:03 CLIENT(127.0.0.1:43564): pinged (last ping 15.000018192s)
2021/07/07 20:44:18 CLIENT(127.0.0.1:43564): pinged (last ping 15.000018646s)
2021/07/07 20:44:33 CLIENT(127.0.0.1:43564): pinged (last ping 15.000077958s)
2021/07/07 20:44:48 CLIENT(127.0.0.1:43564): pinged (last ping 14.999943904s)
2021/07/07 20:45:03 CLIENT(127.0.0.1:43564): pinged (last ping 15.000057896s)
2021/07/07 20:45:18 CLIENT(127.0.0.1:43564): pinged (last ping 14.999967774s)
2021/07/07 20:45:33 CLIENT(127.0.0.1:43564): pinged (last ping 15.000063515s)
2021/07/07 20:45:48 CLIENT(127.0.0.1:43564): pinged (last ping 14.999958899s)
2021/07/07 20:46:03 CLIENT(127.0.0.1:43564): pinged (last ping 14.999954648s)
2021/07/07 20:46:18 CLIENT(127.0.0.1:43564): pinged (last ping 15.000062599s)
2021/07/07 20:46:33 CLIENT(127.0.0.1:43564): pinged (last ping 14.999962433s)
2021/07/07 20:46:48 CLIENT(127.0.0.1:43564): pinged (last ping 14.999997676s)
2021/07/07 20:47:03 CLIENT(127.0.0.1:43564): pinged (last ping 15.000014775s)
2021/07/07 20:47:18 CLIENT(127.0.0.1:43564): pinged (last ping 14.999950304s)
2021/07/07 20:47:33 CLIENT(127.0.0.1:43564): pinged (last ping 14.999996634s)
2021/07/07 20:47:48 CLIENT(127.0.0.1:43564): pinged (last ping 14.999953631s)
2021/07/07 20:48:03 CLIENT(127.0.0.1:43564): pinged (last ping 15.000065732s)
2021/07/07 20:48:18 CLIENT(127.0.0.1:43564): pinged (last ping 14.999999289s)
2021/07/07 20:48:33 CLIENT(127.0.0.1:43564): pinged (last ping 14.999950116s)
2021/07/07 20:48:48 CLIENT(127.0.0.1:43564): pinged (last ping 15.000078833s)
2021/07/07 20:49:03 CLIENT(127.0.0.1:43564): pinged (last ping 15.005313284s)
2021/07/07 20:49:18 CLIENT(127.0.0.1:43564): pinged (last ping 14.994616926s)
2021/07/07 20:49:33 CLIENT(127.0.0.1:43564): pinged (last ping 15.000020023s)
2021/07/07 20:49:48 CLIENT(127.0.0.1:43564): pinged (last ping 14.999983821s)
2021/07/07 20:50:03 CLIENT(127.0.0.1:43564): pinged (last ping 15.000017559s)
2021/07/07 20:50:18 CLIENT(127.0.0.1:43564): pinged (last ping 14.999989835s)
2021/07/07 20:50:33 CLIENT(127.0.0.1:43564): pinged (last ping 15.000013172s)
2021/07/07 20:50:48 CLIENT(127.0.0.1:43564): pinged (last ping 14.999985159s)
2021/07/07 20:51:03 CLIENT(127.0.0.1:43564): pinged (last ping 15.000005657s)
2021/07/07 20:51:18 CLIENT(127.0.0.1:43564): pinged (last ping 14.999991965s)
2021/07/07 20:51:33 CLIENT(127.0.0.1:43564): pinged (last ping 14.999998138s)
